id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233877,2017-02-01,-16,755,малооблачно,-,ЮЗ 3м/с,-21,756,ясно,-,ЮЗ 3м/с
233877,2017-02-02,-15,755,ясно,-,ЮЗ 3м/с,-22,756,ясно,-,ЮЗ 3м/с
233877,2017-02-03,-10,755,ясно,-,Ю 4м/с,-19,757,ясно,-,Ю 4м/с
233877,2017-02-04,-12,759,ясно,-,СВ 1м/с,-20,759,ясно,-,СВ 1м/с
233877,2017-02-05,-13,755,ясно,-,СЗ 2м/с,-20,757,малооблачно,-,СЗ 2м/с
233877,2017-02-06,-10,759,ясно,-,С 1м/с,-15,761,малооблачно,снег,С 1м/с
233877,2017-02-07,-10,760,малооблачно,-,Ю 3м/с,-12,760,ясно,-,Ю 3м/с
233877,2017-02-08,-11,758,ясно,-,ЮЗ 2м/с,-16,758,ясно,-,ЮЗ 2м/с
233877,2017-02-09,-11,756,пасмурно,снег,С 1м/с,-12,755,пасмурно,снег,С 1м/с
233877,2017-02-10,-7,755,малооблачно,снег,С 1м/с,-9,756,малооблачно,снег,С 1м/с
233877,2017-02-11,-8,760,малооблачно,снег,СВ 2м/с,-9,762,ясно,-,СВ 2м/с
233877,2017-02-12,-4,764,ясно,-,СЗ 1м/с,-8,766,пасмурно,-,СЗ 1м/с
233877,2017-02-13,-6,767,ясно,-,Ш,-11,767,облачно,-,Ш
233877,2017-02-14,-6,762,ясно,-,Ю 5м/с,-10,762,ясно,-,Ю 5м/с
233877,2017-02-15,-6,760,ясно,-,ЮЗ 4м/с,-8,759,ясно,-,ЮЗ 4м/с
233877,2017-02-16,-9,748,пасмурно,снег,СВ 3м/с,-10,748,пасмурно,снег,СВ 3м/с
233877,2017-02-17,-11,751,пасмурно,снег,Ю 2м/с,-14,754,пасмурно,снег,Ю 2м/с
233877,2017-02-18,-13,757,ясно,-,ЮЗ 3м/с,-19,758,ясно,-,ЮЗ 3м/с
233877,2017-02-19,-15,758,ясно,-,Ю 5м/с,-24,758,ясно,-,Ю 5м/с
233877,2017-02-20,-16,757,ясно,-,СЗ 2м/с,-23,758,ясно,-,СЗ 2м/с
233877,2017-02-21,-13,763,ясно,-,Ю 5м/с,-16,763,ясно,-,Ю 5м/с
233877,2017-02-22,-7,756,ясно,-,ЮЗ 3м/с,-13,755,малооблачно,снег,ЮЗ 3м/с
233877,2017-02-23,-8,751,ясно,-,С 1м/с,-18,752,ясно,-,С 1м/с
233877,2017-02-24,-9,752,малооблачно,-,ЮЗ 3м/с,-11,751,ясно,-,ЮЗ 3м/с
233877,2017-02-25,-12,753,малооблачно,-,З 2м/с,-20,757,ясно,-,З 2м/с
233877,2017-02-26,-12,762,ясно,-,ЮЗ 5м/с,-15,764,ясно,-,ЮЗ 5м/с
233877,2017-02-27,-6,764,ясно,-,ЮЗ 3м/с,-15,764,ясно,-,ЮЗ 3м/с
233877,2017-02-28,-3,758,пасмурно,снег,СЗ 1м/с,-4,758,пасмурно,снег,СЗ 1м/с
